id;cp;lat;lon;nom;origin;exp
89289;89300;47.95472;3.37306;Paroy-sur-Tholon;fr;0
89290;89310;47.69722;4.07778;Pasilly;fr;0
89291;89510;48.11000;3.30278;Passy;fr;0
89292;89360;47.96361;3.82528;Percey;fr;0
89295;89000;47.82000;3.53778;Perrigny;fr;0
89296;89390;47.68944;4.23667;Perrigny-sur-Armançon;fr;0
89297;89450;47.43583;3.79694;Pierre-Perthuis;fr;0
89298;89330;48.05556;3.14639;Piffonds;fr;0
89299;89740;47.83806;4.17778;Pimelles;fr;0
89300;89420;47.55528;4.14167;Pisy;fr;0
89302;89140;48.35222;3.30583;Plessis-Saint-Jean;fr;0
89303;89310;47.76472;3.89250;Poilly-sur-Serein;fr;0
89304;89110;47.86667;3.39472;Poilly-sur-Tholon;fr;0
89306;89200;47.48944;3.85917;Pontaubert;fr;0
89307;89230;47.90694;3.71083;Pontigny;fr;0
89308;89190;48.18417;3.44278;Pont-sur-Vanne;fr;0
89309;89140;48.28583;3.20306;Pont-sur-Yonne;fr;0
89310;89260;48.28222;3.44306;La Postolle;fr;0
89311;89240;47.75500;3.41222;Pourrain;fr;0
89312;89440;47.59361;3.83250;Précy-le-Sec;fr;0
89313;89116;47.96750;3.24750;Précy-sur-Vrin;fr;0
89314;89460;47.64056;3.66639;Prégilbert;fr;0
89315;89800;47.75889;3.75778;Préhy;fr;0
89316;89200;47.54639;3.95583;Provency;fr;0
89318;89630;47.36806;3.99750;Quarré-les-Tombes;fr;0
89319;89290;47.77694;3.64972;Quenne;fr;0
89320;89740;47.94167;4.16306;Quincerot;fr;0
89321;89390;47.73472;4.22806;Ravières;fr;0
89323;89700;47.91750;3.92083;Roffey;fr;0
89324;89220;47.74611;2.88333;Rogny-les-Sept-Écluses;fr;0
89325;89170;47.65861;3.11611;Ronchères;fr;0
89326;89100;48.1473372;3.3085428;Rosoy;fr;0
89327;89500;48.09472;3.26278;Rousson;fr;0
89328;89230;47.89750;3.66833;Rouvray;fr;0
89329;89430;47.89778;4.14722;Rugny;fr;0
89331;89520;47.51806;3.25944;Sainpuits;fr;0
89332;89340;48.30556;3.05111;Saint-Agnan;fr;0
89333;89420;47.48028;4.05944;Saint-André-en-Terre-Plaine;fr;0
89334;89110;47.82361;3.31000;Le Val d'Ocre;fr;0
89335;89300;48.00111;3.34583;Saint-Aubin-sur-Yonne;fr;0
89336;89630;47.42611;3.99583;Saint-Brancher;fr;0
89337;89530;47.74361;3.64944;Saint-Bris-le-Vineux;fr;0
89338;89100;48.21778;3.29278;Saint-Clément;fr;0
89339;89440;47.56667;3.96917;Sainte-Colombe;fr;0
89341;89800;47.74194;3.73806;Saint-Cyr-les-Colons;fr;0
89342;89100;48.22861;3.26639;Saint-Denis-lès-Sens;fr;0
89344;89170;47.64083;3.07139;Saint-Fargeau;fr;0
89345;89600;48.00194;3.72500;Saint-Florentin;fr;0
89346;89000;47.80528;3.53306;Saint-Georges-sur-Baulche;fr;0
89347;89630;47.41056;3.92167;Saint-Germain-des-Champs;fr;0
89348;89330;48.03194;3.29500;Saint-Julien-du-Sault;fr;0
89349;89630;47.38694;4.04083;Saint-Léger-Vauban;fr;0
89350;89330;48.01583;3.16333;Saint-Loup-d'Ordon;fr;0
89351;89420;47.45028;4.07806;Sainte-Magnance;fr;0
89352;89170;47.65694;3.03444;Saint-Martin-des-Champs;fr;0
